px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.2861	2.33441	5.30225	0.382964	0.236581	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	2.53814
13.4592	2.47714	5.01093	0.428215	0.283534	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	11.0175
13.7093	2.59211	5.05489	0.443606	0.284957	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.906238
13.9284	2.70409	5.0248	0.460413	0.288691	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.135903
14.1573	2.85829	5.06588	0.492782	0.31088	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.60262
14.4094	2.97552	5.23747	0.497691	0.293587	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	1.3379
14.6162	3.04136	5.14923	0.488703	0.264381	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	2.37308
14.8483	3.20346	5.27035	0.51666	0.280609	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	3.39593
15.0603	3.39729	5.30524	0.56081	0.317925	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.91016
15.2691	3.56613	5.20937	0.594341	0.343807	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.64068
15.4847	3.75246	5.25213	0.627895	0.364025	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.464848
15.6947	3.8872	5.21534	0.637644	0.354063	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	1.07403
15.9173	4.02536	5.21483	0.644456	0.340639	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.247571
16.1119	4.18201	5.07739	0.668033	0.353876	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.48877
16.3078	4.37621	5.11821	0.7005	0.372111	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.340983
16.5188	4.54184	5.17588	0.713244	0.363164	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.697705
16.6957	4.70487	5.14332	0.732043	0.363867	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.498042
16.8493	4.88026	4.89241	0.768975	0.397674	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	3.29638
17.0094	5.1085	4.95208	0.814257	0.42893	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.741315
17.1819	5.268	4.9215	0.826108	0.417372	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.47447
17.3372	5.44859	4.90754	0.848598	0.419289	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.12965
17.4964	5.60374	4.83281	0.859786	0.408896	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	2.73649
17.6849	5.72474	4.77377	0.847539	0.369033	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.3227
17.8333	5.90675	4.70323	0.872105	0.38022	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.559235
18.0031	6.10716	4.75605	0.892132	0.38182	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	1.0155
18.1567	6.31056	4.81898	0.913878	0.383409	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.931117
18.2762	6.56151	4.88657	0.961737	0.418394	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.930827
18.4106	6.77041	4.87701	0.987387	0.425641	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.269905
18.5565	6.9027	4.76833	0.979323	0.389806	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	1.36268
18.7078	7.11125	4.88455	0.99026	0.373875	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.79897
18.9052	7.25066	4.83155	0.96581	0.322169	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	3.63406
18.9974	7.4368	4.64232	0.999018	0.350844	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	3.56596
19.0841	7.71956	4.75977	1.05695	0.399848	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.89907
19.2077	7.92274	4.78891	1.07005	0.388973	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.273379
19.2849	8.14574	4.78155	1.10521	0.407318	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.28161
19.3852	8.35546	4.8245	1.12138	0.396947	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.13034
19.4806	8.49591	4.67418	1.12064	0.371368	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	3.06273
19.5755	8.69565	4.61583	1.13995	0.374992	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	0.424557
19.7353	8.87512	4.60269	1.12634	0.337286	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	3.98218
19.8136	9.0865	4.52683	1.15569	0.357895	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	0.916038
19.9393	9.32826	4.6157	1.16952	0.354381	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	3.43351
19.9911	9.53469	4.46721	1.20778	0.388893	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	2.2333
20.0723	9.79026	4.55938	1.23782	0.402371	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.20529
20.1338	10.0444	4.68247	1.26712	0.408051	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	7.47732
20.1775	10.3357	4.80499	1.31331	0.439203	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.20328
20.1956	10.5653	4.69378	1.35959	0.478597	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	2.80735
20.2495	10.8529	4.81629	1.3933	0.491035	20.371	11.0109	20.1663	10.864	0.722256	4.7934	2.21433
20.2759	11.1177	4.89636	1.42567	0.496708	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	4.87313
20.3107	11.3556	4.88739	1.44852	0.494381	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	0.00596195
20.2599	11.5953	4.71175	1.52325	0.576356	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	10.1105
20.3307	11.8335	4.72352	1.52733	0.548621	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.90801
20.355	12.0725	4.84817	1.53198	0.501778	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.93446
20.3364	12.3748	4.98249	1.57494	0.522836	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.00124
20.2882	12.6075	4.84751	1.63219	0.578404	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	3.03519
20.3155	12.8402	4.82067	1.64188	0.556808	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.95502
20.3073	13.0644	4.77551	1.66439	0.552042	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.07504
20.275	13.2693	4.70452	1.69204	0.551509	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	0.905757
20.2383	13.5025	4.73487	1.71682	0.541731	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.32763
20.2131	13.7703	4.80807	1.74061	0.538712	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.42933
20.1612	13.9915	4.75074	1.77514	0.553979	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	0.785575
20.1008	14.2562	4.82957	1.80721	0.559519	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.420653
20.0296	14.4844	4.82973	1.83819	0.560774	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.3597
19.9141	14.7515	4.93848	1.88511	0.582434	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.12725
19.8487	14.9674	4.92065	1.90027	0.554138	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.40103
19.8256	15.1743	4.8221	1.90576	0.529281	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	2.22254
19.7012	15.3726	4.66683	1.98051	0.628064	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	7.65794
19.6825	15.5436	4.50906	1.98469	0.597341	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	3.14551
19.5984	15.7373	4.48652	2.00814	0.584954	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.225
19.4866	15.9618	4.54982	2.04076	0.589002	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.164879
19.3895	16.1656	4.57761	2.05488	0.554907	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.81557
19.2798	16.3441	4.52968	2.08505	0.557327	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.381839
19.1681	16.5341	4.51176	2.11406	0.560629	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.213433
19.0251	16.7619	4.61657	2.14597	0.565277	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.432438
18.8686	16.9537	4.61039	2.20793	0.636995	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.69999
18.6729	17.2165	4.84569	2.24691	0.645323	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.12068
18.5743	17.4187	4.82151	2.22687	0.542667	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	5.97248
18.3471	17.6272	4.96666	2.27592	0.565747	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	3.68898
18.2081	17.8222	4.96024	2.27796	0.511746	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.22841
18.084	18.0009	4.88826	2.29292	0.50073	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.993453
17.9093	18.153	4.83904	2.33775	0.538311	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	2.12759
17.7944	18.2792	4.66764	2.35806	0.531322	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	1.06435
17.6674	18.454	4.6265	2.36508	0.502529	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.55506
17.4591	18.6498	4.75882	2.39362	0.506077	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.600592
17.2824	18.7869	4.71891	2.42953	0.52563	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.77845
17.1281	18.9172	4.63706	2.45401	0.523797	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.23062
16.9608	19.0875	4.65493	2.46603	0.502292	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.04767
16.7395	19.2076	4.68246	2.50684	0.518751	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	2.74255
16.5454	19.3643	4.72715	2.53111	0.521648	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	3.26912
16.3043	19.5393	4.87858	2.55626	0.519978	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	0.778514
16.0834	19.6202	4.8378	2.60831	0.560099	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	10.1372
15.8745	19.7665	4.8756	2.62841	0.551599	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.712169
15.6913	19.8874	4.78812	2.63293	0.502185	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.26187
15.448	20.05	4.92228	2.64946	0.492081	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	1.11382
15.2259	20.1997	4.97396	2.65974	0.47051	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.50247
15.0498	20.3218	4.89614	2.67233	0.459808	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.98561
14.8176	20.4052	4.89901	2.71032	0.483616	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.17335
14.6053	20.5217	4.89745	2.72733	0.476188	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.599299
14.3613	20.6135	4.95305	2.76317	0.501589	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.21288
14.1174	20.685	4.95941	2.79574	0.509342	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.678786
13.8748	20.7599	4.99071	2.83049	0.529223	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.322845
13.5952	20.8256	5.07062	2.8645	0.536207	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	1.42483
13.3405	20.8603	5.11334	2.91657	0.585624	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.27778
13.1039	20.8937	5.06486	2.95158	0.592322	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.243922
12.8708	20.9535	5.03287	2.97238	0.579824	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.84615
12.695	20.9834	4.86575	2.99999	0.581534	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	2.20556
12.4355	21.0278	4.92499	3.02636	0.579831	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.51648
12.1904	21.0635	4.9336	3.05141	0.575455	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.12918
11.9524	21.0832	4.93358	3.08239	0.582845	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.955506
11.7188	21.0488	4.87731	3.12853	0.602283	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	1.91332
11.4728	21.0349	4.87538	3.16392	0.608142	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.07046
11.2687	21.0232	4.78632	3.19611	0.612214	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.646649
11.0134	20.9849	4.81775	3.235	0.621049	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.14603
10.8144	20.9428	4.72272	3.27434	0.632535	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.414507
10.5738	20.9377	4.63508	3.28269	0.587117	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	5.53076
10.2694	20.9759	4.81575	3.2768	0.543453	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.73699
10.0341	20.9556	4.80439	3.29719	0.534556	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.01291
9.85739	20.9122	4.67187	3.33117	0.545903	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.41991
9.63903	20.8962	4.54186	3.33626	0.503941	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	1.91903
9.45517	20.8455	4.45803	3.36781	0.513006	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.492444
9.24679	20.7981	4.46559	3.39479	0.518741	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.40066
8.91681	20.7801	4.7115	3.38836	0.477117	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	3.26808
8.71265	20.6972	4.68177	3.42702	0.497768	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.27823
8.41043	20.621	4.85392	3.44273	0.483571	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	3.10473
8.1809	20.5414	4.86969	3.47085	0.490627	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.07172
7.93011	20.4631	4.91548	3.49058	0.484283	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.134734
7.71208	20.3779	4.95224	3.52206	0.50203	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.37033
7.37207	20.3247	5.17664	3.51029	0.456336	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	2.9084
7.13168	20.2318	5.14606	3.52909	0.447196	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.262151
6.86356	20.1476	5.20676	3.53963	0.432954	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.260734
6.63393	20.0582	5.14997	3.55512	0.421945	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.597302
6.39183	19.9644	5.16108	3.57047	0.415491	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.134405
6.17383	19.8719	5.12435	3.58888	0.414428	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	3.01823
5.91044	19.777	5.18615	3.59607	0.398284	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.351777
5.66381	19.6347	5.30967	3.6288	0.422837	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.64916
5.51933	19.5053	5.12797	3.67113	0.45035	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	2.19392
5.31676	19.3568	5.11854	3.70455	0.465021	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.85102
5.11445	19.2531	5.07124	3.71932	0.456905	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	2.00548
4.93832	19.1397	4.90857	3.73691	0.444594	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.63616
4.79245	18.9896	4.80838	3.77728	0.467657	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.687568
4.57696	18.8394	4.92687	3.79991	0.472249	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.62278
4.407	18.708	4.86682	3.82334	0.473738	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	1.05486
4.2393	18.564	4.74994	3.84508	0.465867	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.1087
4.12795	18.4124	4.62538	3.88809	0.492043	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.43361
3.92774	18.2401	4.90808	3.91653	0.511591	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.19153
3.6478	18.0951	5.05969	3.898	0.456036	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.79706
3.49593	17.9464	4.86227	3.91582	0.441138	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.57718
3.25507	17.7782	4.97454	3.91321	0.409572	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.1798
3.06296	17.5948	5.11196	3.93666	0.42143	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.0865
2.8926	17.4759	5.03088	3.9415	0.40493	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.23844
2.73794	17.2605	5.16473	3.98527	0.44334	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	2.55294
2.56264	17.0698	5.17007	4.00436	0.439692	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.0186347
2.40671	16.9064	4.93973	4.01216	0.410657	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	2.36424
2.2476	16.7354	4.92029	4.02705	0.404716	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.511064
2.07483	16.5386	4.87175	4.03755	0.386087	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	4.68119
1.91811	16.3091	4.92836	4.06412	0.392993	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.23532
1.77183	16.133	4.82245	4.07513	0.377889	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	0.677229
1.56186	15.966	4.88603	4.0608	0.338036	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.70873
1.42445	15.7336	5.06598	4.09763	0.371829	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	2.14357
1.24762	15.5119	5.13086	4.10659	0.359155	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	0.633963
1.09042	15.3199	5.07248	4.11233	0.341241	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0.999372
0.869299	15.0969	5.20116	4.10046	0.304704	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	1.88078
0.732309	14.9191	5.02885	4.10616	0.285897	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	2.50158
0.643303	14.7092	4.95807	4.14218	0.312542	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.61485
0.522295	14.4665	5.10769	4.17492	0.340373	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	1.8707
0.343525	14.2405	5.1832	4.1729	0.316553	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	0.63322
0.201393	13.9856	5.39787	4.19815	0.337881	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	2.10355
0.210756	13.7384	5.23169	4.27477	0.411439	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	4.44215
0.0976008	13.4949	5.31191	4.29661	0.416306	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	0.51712
-0.0729487	13.257	5.37951	4.2888	0.380751	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	0.998895
-0.189143	13.0422	5.20501	4.29416	0.356683	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	1.48278
-0.171597	12.8247	5.04004	4.36032	0.41818	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	3.87377
-0.282111	12.6005	4.91812	4.36471	0.392045	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	2.90352
-0.403076	12.3676	4.95842	4.36723	0.370581	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.368912
-0.517874	12.16	4.89534	4.36575	0.343916	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	3.4181
-0.592741	11.947	4.86176	4.38346	0.34533	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456	0.450881
-0.713641	11.7173	4.88066	4.37974	0.318025	-1.26757	11.6495	-0.892931	11.6751	-2.19304	-4.67598	2.74343
-0.921392	11.469	5.02357	4.33819	0.245694	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628	4.51419
-1.01183	11.2467	4.87699	4.34314	0.228679	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549	2.18636
